,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01
동대문구,3211944,2816774,3541488,3451241,3373672,2957810,3095670,2927350,3168185,3363297,3238111,3328893,3020304,2745862,3454110,3259905,3290604,3164717,3045582,2940378,3090106,2509135,2490367,2518433,2308193,2217826,2591648,2443582,2414419,2380253,2284596,2295401,2695488,2379163,2654070,2609533,2477394,2247627,2754874,2644438,2687249,2555013,2547578,2443314,2522861,2737781,2678872,2613150,2710426,2206920,2712717,2694401,2737017,2551284,2603700,2496718,2461366,2724099,2600245,2611709,2430009,1880726,1599629,1756215,1934371,1941745,2031344,1677942,1806133,1963168,1943590,1644198,1666324,1651792,2025203,1995129,1917110,1956467,1777927,1725085,1799194,1920918,2000611,1909727,1950388
동작구,5675391,4870276,6557265,6468491,6262466,5637876,5720229,5379848,5770838,6217297,6009871,6050678,5348508,4948489,6389169,6182813,6307359,6047389,5623660,5458936,5612969,4742133,4760394,4802694,4275448,4293094,4966778,4709310,4740792,4654299,4493828,4417337,4717996,4182511,4743007,4692119,4458475,3910482,4882821,4730637,4839393,4557352,4619787,4456346,4298246,4870062,4864257,4699540,4641876,3935677,4893007,4929893,5053046,4622986,4801682,4525402,4452743,4916544,4864581,4849365,4326638,3691184,3135935,3305333,3649634,3791119,3996901,3421923,3272708,3652080,3750469,3167571,3205585,3104899,3850482,3817970,3728891,3838284,3502077,3345011,3346846,3645984,3887075,3851261,3619438
마포구,18549171,16157881,20307249,19704477,20148969,17444308,18445803,17925069,18107407,20457487,19093261,20206532,18206667,16901822,20282233,19496087,20220019,19366487,19353045,19111616,18350750,18459324,18292556,19042800,16893449,17196620,19167076,18137991,18405580,17839995,17594413,17537850,18254188,16819885,18402718,18969268,17605610,15869199,19429889,18525633,19146795,17844463,18214679,17764176,17056117,19245910,19041208,19182975,18496978,16043303,19452677,19122193,19916991,18188580,18956197,18506309,17502410,19919329,19218528,19772830,17351535,14254391,11099204,11787119,12470875,13112358,14464793,12019221,10937798,13203419,13334902,10233505,10728944,11340860,13959653,13667735,13813837,14108602,12011080,11836664,11954976,13448337,14493200,14338395,13600357
부평구,1424126,1231730,1539432,1529059,1498815,1363313,1476440,1417954,1448400,1572811,1507037,1594290,1439013,1329911,1591770,1551554,1586651,1536471,1532529,1479872,1438626,1563405,1564178,1604492,1442650,1418294,1615072,1570029,1574729,1533859,1502069,1467877,1545373,1403302,1558648,1571323,1494442,1311029,1593682,1560398,1594624,1505138,1546889,1514318,1415829,1608092,1596679,1557540,1542090,1314427,1580747,1633231,1651316,1519366,1600755,1520727,1461188,1636605,1600628,1618139,1446901,1212610,1049573,1094306,1159206,1194030,1299442,1099410,1061827,1201526,1232106,1045210,1063062,1046173,1302367,1303836,1222780,1173169,1067135,1011124,1013290,1113925,1182966,1170804,40
서대문구,7247535,6228806,8055576,7764242,7716237,6610859,7090827,6834692,6964110,7547232,7401983,7722868,6939124,6410861,7956120,7432361,7680845,7169333,7183168,6947400,6800500,6332870,6568067,6586172,5696270,5760169,6808726,6238693,6286550,5990970,5991432,5819335,6233285,5579572,6356177,6297771,5824729,5148832,6563913,6202912,6431217,5871072,6008055,5742396,5610920,6280574,6350191,6143632,5869671,5040751,6436387,6249272,6511144,5834533,6075998,5809767,5710025,6362587,6216014,6221707,5394144,4391672,3493735,3720444,4025356,4184972,4573461,3789250,3428488,4088680,4142834,3366865,3399173,3478118,4342923,4264427,4198244,4286074,3831611,3676270,3725681,4117419,4420281,4269736,4040414
서초구,25678429,21923208,26493139,25342562,25104288,21761760,24914111,23695030,23107839,25033817,24517936,25999826,24129974,22170563,25692349,24446271,24995872,24037058,25111747,24351716,22646903,16560147,16425877,17209412,15977902,15995172,17165671,16366552,16446954,16170002,16658014,16474038,16554790,14779350,16539628,17268720,16508711,14741160,17203792,16536743,17092517,16076099,17171866,16672349,15337312,16760042,16817556,16989873,16831355,14532417,16817817,16474901,17199319,15918618,17076170,16583548,15371583,17021784,16632478,17166119,15438082,11939212,9101467,10021929,11387346,11774715,12901743,10697487,9197991,11235683,11501945,8758065,9161964,9611045,11723114,11451735,11410179,11711979,10290198,9830201,9967338,11087139,12070352,11725446,11348581
성동구,9324548,7944580,10615359,10434822,10050826,9270731,9511984,8835227,9401707,10216480,9995365,10199994,8981888,8277991,10604177,10060304,10314435,9843887,9531973,9274174,9270673,8982277,9135920,9109450,7987320,8055258,9652576,9171498,9081990,8909955,8549750,8408782,9271815,8190830,9404424,9183895,8656603,7503040,9668964,9419452,9611610,8958712,9001214,8520320,8378133,9734244,9734648,9183040,9048486,7589802,9649389,9856546,10055668,9114949,9463695,8833885,8874935,9905351,9747867,9666925,8611954,7463078,6537420,6810693,7315161,7746507,8209647,6827830,6620956,7454905,7721243,6432051,6569952,6540535,8227285,8225548,7897241,8304647,7359018,7024971,7075115,7791711,8485598,8354671,7808482
성북구,8388483,7275441,10203373,9852076,9770039,8504819,8435042,8034170,8958163,9586864,9331503,9257322,8006034,7494754,10080384,9412165,9732104,8959865,8385903,8107517,8691893,4475503,4505252,4398980,3808308,3776382,4652299,4378554,4413892,4219148,3951234,3904896,4262400,3813243,4219766,4060519,3732812,3289445,4278741,4115575,4242752,3895579,3818189,3691376,3728328,4201388,4153439,3923594,3750304,3224424,4151490,4159339,4288449,3828253,3866674,3673760,3798169,4182072,4084899,4040624,3551346,2978107,2583276,2707738,2995168,3145566,3289976,2680657,2610685,2996512,3045709,2540747,2528947,2508259,3151488,3114433,3054810,3109014,2799840,2686039,2756325,3014026,3218624,3132626,2946513
송파구,14247731,12262030,15518491,15919746,15904626,13385361,14960766,14563899,14498035,16056664,14972735,16114155,14361943,13296668,15981166,16046962,16286081,15478927,15695052,15340104,15084317,9436158,9150819,11044459,9899436,9911726,11465620,11478555,11480008,11316285,10921856,10874391,11561569,10082550,11303093,11452334,10837679,9482166,11817503,11732472,12190236,11651148,11626788,11248878,10545049,12116383,12085097,11623120,11495578,9681561,12131108,12455703,12855657,11665908,12247411,11535733,11067517,12705276,11975447,12206233,10892559,8987995,7495942,7943762,8792506,9312530,9923379,8260701,7817060,9024678,9271069,7627713,7941494,7731758,9710602,9610126,9260234,9671561,8698044,8260832,8247179,9171085,10048699,9723591,9169696
양천구,4786263,4097260,5132882,5022784,4968309,4427125,4791620,4525187,4582481,4938672,4760284,4980893,4516839,4172397,4974076,4776271,4839249,4660012,4621835,4504604,4393298,2307329,2310240,2311024,2082596,2059578,2378949,2256237,2247824,2196897,2127483,2100417,2243616,2007439,2231805,2207759,2123382,1864707,2296672,2234222,2281223,2138391,2155147,2054180,1986526,2273354,2247641,2163760,2176050,1854632,2286768,2388182,2432053,2208177,2313038,2166750,2136029,2367867,2289725,2284096,2067454,1746475,1453506,1550004,1724061,1786633,1910443,1602749,1523672,1746751,1779931,1483279,1512633,1509790,1885683,1866646,1809341,1865572,1677790,1602988,1609857,1761778,1874355,1836477,1749889
양평군,602014,525067,655024,659469,658347,581220,626148,609150,602063,645030,606815,629222,570154,535295,642822,635884,646483,622685,618593,612704,596442,653351,638857,635840,571275,563981,646687,642257,639474,628175,610073,611351,637728,578844,618128,611252,591405,526436,639039,636847,643300,607468,622395,599904,566328,643599,636217,602186,613757,519991,628626,650333,657191,602885,636974,609615,587611,652704,626621,627981,576004,484945,429208,456467,497078,526217,558815,458419,443195,509604,510871,423512,434980,441141,548261,553740,535183,550482,489273,469090,478891,529114,550156,539429,509081
영등포구,12698911,10861603,13838617,14484399,13448908,12168765,13067789,12445647,12551121,13769397,12887604,13387609,12241266,11195931,13766923,14179344,13774347,13405695,13176806,12871105,12450771,10826646,10499756,10707674,9497048,9554886,11042039,11515317,10617153,10529655,10124558,10156453,11199998,9430327,10619291,10462778,10141543,8740335,10952195,11348833,11064448,10347514,10627339,10187411,9816459,11313481,11003908,10535253,10665145,8895025,10909877,12116639,11895111,10626171,11348387,10764660,10388552,11839785,11142509,11050359,9959029,8701300,7636410,7975555,8593482,9129109,9706744,7929078,7563444,8608698,8896985,7373332,7556963,7721108,10161630,9992944,9473805,9861640,8454475,8087161,8194731,9069416,9931667,9665579,9074241
용산구,5435210,4632375,5920898,5779891,5927901,5021092,5267746,5170298,5280706,6016969,5499012,5941121,5167759,4735824,5832381,5645968,5913331,5610065,5422832,5331696,5286925,3974895,3766394,4017527,3423731,3467433,3921571,3747194,3778950,3739068,3611896,3632709,3869505,3816567,3872248,4156087,3697416,3386118,4143208,3941646,4148622,3917493,3895103,3791212,3694582,4354014,4106875,4206885,3872713,3350759,4058459,4005262,4175151,3897605,3953682,3906367,3685083,4370563,4060689,4233585,3613666,2967926,2415498,2482537,2490923,2643073,2930696,2452601,2281591,2786297,2770624,2132368,2225055,2337130,2957980,2929608,2893711,3022282,2580019,2481748,2599471,3010361,3197570,3140923,2945904
은평구,8760697,7588210,9647733,9524068,9444833,8540508,8945792,8562819,8756564,9499693,9086206,9418733,8503213,7930426,9613669,9275306,9538685,9104816,8945587,8738635,8628800,7833518,7851530,8218925,7275465,7156205,8264670,7867517,7941056,7745147,7590296,7549614,7830838,7307255,7892739,7894318,7452553,6644945,8142075,7892536,8149182,7687656,7826998,7553106,7274823,8140771,8012661,7834045,7653942,6617960,8033178,8100654,8375518,7712884,8019663,7673953,7397599,8233063,7977832,8065855,7265969,6095264,5199766,5581628,6132835,6360449,6726516,5645976,5467243,6266282,6251643,5276387,5253077,5251751,6491352,6415620,6317904,6458487,5904403,5665903,5740547,6285215,6536790,6406644,6042179
종로구,20800694,17609709,21560210,21232061,21718838,17516556,19702722,19254235,18953744,21209981,20575359,22215142,19628190,17907212,21524685,20526019,21387971,19986510,20021284,19305618,18761952,16835809,17358384,17926421,15092803,15436303,17500165,16248876,16381614,15736611,15640360,15437971,16177877,15235603,16685222,17140244,15605883,13652144,16875038,16001820,16833173,15560589,15694856,14976460,14821581,16914245,16616672,16781162,16298236,13982453,16709220,16442060,17225459,15616851,16180073,15630387,14767518,17194298,16403113,17119096,14721044,11165581,8780643,9618944,10841760,11091507,12128522,9582419,8891936,10803108,10834885,8268478,8376712,8781781,11171755,10929972,10924115,11099673,9746704,9331797,9544457,10851696,11568426,10959436,10441010
중구,19423974,16709577,20943296,20807275,20175502,17549790,18523412,17880683,18558710,20584695,20079455,21391456,18668469,17125244,20900077,19897634,20365921,19732278,19311779,18838898,18332405,18286910,19307671,19412728,16326431,16711295,19074570,17586789,16884692,16857138,16326160,16447481,17514553,15890558,18154827,18163740,16655455,14579448,18378136,17796138,17937635,16832784,17023633,16636051,16098178,18489806,18505232,18266559,17234780,14482780,18196894,18471052,18592100,17128685,17744200,17148858,16553926,19109360,18434417,18790262,16138548,12867321,10020440,10280612,11124823,11936286,12739267,10362742,9915661,11298251,11848961,9771983,9642611,9597855,12043159,11948835,11352201,12096942,10709822,10160251,10192392,11329193,12673857,12738948,11388090
중랑구,5027742,4346661,5547748,5444002,5408394,4873771,5049396,4827043,4931723,5341733,5104682,5309632,4811367,4479050,5459238,5271470,5369853,5103122,4975542,4831655,4783289,3740444,3726482,3769889,3357743,3316055,3906926,3762490,3805185,3636762,3486350,3460346,3702063,3394256,3715960,3673344,3494148,3101336,3878585,3789302,3936181,3626763,3614542,3494735,3423891,3871869,3811596,3686854,3623002,3130039,3844012,3887289,4036715,3613697,3677405,3518285,3490250,3863809,3752189,3748384,3391561,2949651,2371624,2464482,2685195,2752125,2883342,2485632,2420023,2725456,2763005,2399762,2391299,2325554,2875433,2855721,2792805,2853720,2620495,2512087,2516413,2755762,2889560,2859985,2659839
