기간,분류,전시회 관람,박물관 관람,음악 및 무용발표회 관람,전통예술공연 관람,연극공연 관람,극장에서 영화관람,대중공연 관람,스포츠경기 관람
2018,강동구,0.4,0.3,0.1,0.1,0.3,2.6,0.2,0.5
2019,서울시,0.26,0.3,0.1,0.09,0.39,2.99,0.16,0.35
2019,서남권,0.25,0.3,0.12,0.09,0.44,3.38,0.19,0.52
2019,동남권,0.39,0.31,0.14,0.09,0.44,3.48,0.2,0.39
2019,종로구,0.26,0.18,0.1,0.08,0.33,2.37,0.15,0.13
2019,중구,0.17,0.24,0.06,0.08,0.26,2.66,0.07,0.16
2019,용산구,0.46,0.46,0.04,0.06,0.27,2.58,0.09,0.18
2019,성동구,0.15,0.16,0.06,0.05,0.34,2.67,0.08,0.09
2019,광진구,0.35,0.37,0.1,0.14,0.38,3.5,0.19,0.34
2019,동대문구,0.19,0.19,0.05,0.09,0.28,2.67,0.06,0.19
2019,중랑구,0.17,0.31,0.07,0.15,0.34,1.92,0.17,0.22
2019,성북구,0.21,0.34,0.1,0.06,0.5,3.07,0.09,0.23
2019,강북구,0.11,0.3,0.08,0.05,0.31,1.77,0.09,0.12
2019,도봉구,0.2,0.24,0.02,0.05,0.32,2.56,0.09,0.16
2019,노원구,0.17,0.23,0.11,0.1,0.42,2.14,0.16,0.17
2019,은평구,0.21,0.35,0.05,0.09,0.31,2.48,0.17,0.3
2019,서대문구,0.1,0.15,0.06,0.12,0.28,2.16,0.08,0.29
2019,마포구,0.35,0.58,0.07,0.05,0.36,3.17,0.09,0.31
2019,양천구,0.15,0.64,0.07,0.1,0.16,2.85,0.05,0.17
2019,강서구,0.17,0.22,0.1,0.06,0.57,3.48,0.13,0.47
2019,구로구,0.3,0.29,0.19,0.09,0.44,2.85,0.21,0.66
2019,금천구,0.19,0.17,0.03,0.02,0.3,3.18,0.05,0.28
2019,영등포구,0.43,0.39,0.37,0.18,0.81,4.64,0.42,1.41
2019,동작구,0.21,0.06,0.03,0.05,0.31,2.32,0.21,0.26
2019,관악구,0.29,0.26,0.09,0.11,0.46,4.16,0.26,0.48
2019,서초구,0.44,0.41,0.28,0.09,0.63,3.69,0.23,0.67
2019,강남구,0.56,0.36,0.14,0.1,0.47,3.71,0.15,0.26
